value,not_in_names
id,NA
vendor_id,X
vendor_entry_id,X
source,NA
state,NA
source_priority,NA
source_lat_lon_priority,X
source_type,NA
url,NA
image,NA
name,NA
object_types,NA
subjects,NA
creators,NA
city,NA
county,NA
description,NA
text,NA
year_dedicated,NA
latitude,X
longitude,X
material,NA
sponsors,NA
cost,X
notes,NA
location_description,NA
year_dedicated_or_constructed,NA
geo_type,X
county_geo_id,X
entities_events,NA
entities_people,NA
gender_represented,NA
ethnicity_represented,NA
object_groups,NA
object_group_reason,NA
monument_score,NA
monument_types,NA
themes,NA
sources,NA
is_duplicate,NA
duplicate_of,NA
has_duplicates,NA
duplicates,NA
year_constructed,NA
dimensions,NA
alternate_name,NA
founder,NA
honorees,NA
street_address,NA
status,NA
captions,NA
designations,NA
use_types,NA
year_removed,NA
physical_dimensions,NA
wikidata,X
wikipedia,NA
year_listed,NA
physical_condition,NA